Company,Position,Salary
Adaptimmune Therapeutics plc,"Process Engineer
2 Salaries submitted",118
Adaptimmune Therapeutics plc,"Manufacturing Specialist
2 Salaries submitted",67
Adaptimmune Therapeutics plc,"Intern - Hourly
2 Salaries submitted",75
Adaptimmune Therapeutics plc,"QC Specialist
2 Salaries submitted",80
Adaptimmune Therapeutics plc,"Manufacturing Manager
2 Salaries submitted",157
Adaptimmune Therapeutics plc,"Quality Control Specialist
2 Salaries submitted",65
Adaptimmune Therapeutics plc,"Clinical Data Manager
2 Salaries submitted",116
Adaptimmune Therapeutics plc,"Director
2 Salaries submitted",302
Adaptimmune Therapeutics plc,"Lead Manufacturing Specialist
1 Salaries submitted",110
Adaptimmune Therapeutics plc,"Supervisor
1 Salaries submitted",102
Adaptimmune Therapeutics plc,"Manager
1 Salaries submitted",177
Adaptimmune Therapeutics plc,"Warehouse Coordinator
1 Salaries submitted",58
ADC Therapeutics SA,"Associate Director
3 Salaries submitted",281
ADC Therapeutics SA,"Manager
2 Salaries submitted",204
ADC Therapeutics SA,"Senior Scientist
2 Salaries submitted",196
ADC Therapeutics SA,"Assoc. Director
1 Salaries submitted",253
ADC Therapeutics SA,"Head of Department
1 Salaries submitted",274
ADC Therapeutics SA,"Associate Director, Analytical Development
1 Salaries submitted",268
ADC Therapeutics SA,"Hematology therapeutic specialist
1 Salaries submitted",188
ADC Therapeutics SA,"Investor Relations Manager
1 Salaries submitted",228
ADC Therapeutics SA,"Human Resources Operations
1 Salaries submitted",173
ADC Therapeutics SA,"Outside Sales Representative
1 Salaries submitted",237
ADC Therapeutics SA,"Executive Director, Clinical Operations
1 Salaries submitted",283
ADC Therapeutics SA,"Account Manager
1 Salaries submitted",256
ADC Therapeutics SA,"Director
1 Salaries submitted",351
ADC Therapeutics SA,"Medical Science Liaison (MSL)
1 Salaries submitted",310
ADC Therapeutics SA,"Sr. Scientist
1 Salaries submitted",214
ADC Therapeutics SA,"Senior Graphic Designer
1 Salaries submitted",137
ADC Therapeutics SA,"Helper
1 Salaries submitted",77
ADC Therapeutics SA,"Customer Service Representative
1 Salaries submitted",61
ADC Therapeutics SA,"Supply Chain Director
1 Salaries submitted",316
ADC Therapeutics SA,"Associate Director, Publications
1 Salaries submitted",211
ADMA Biologics Inc,"Manufacturing Technician
5 Salaries submitted",53
ADMA Biologics Inc,"Phlebotomist
5 Salaries submitted",49
ADMA Biologics Inc,"Donor Screener
4 Salaries submitted",47
ADMA Biologics Inc,"Screener
4 Salaries submitted",79
ADMA Biologics Inc,"Scientist
4 Salaries submitted",128
ADMA Biologics Inc,"Donor Floor Supervisor
3 Salaries submitted",46
ADMA Biologics Inc,"Quality Assurance
3 Salaries submitted",68
ADMA Biologics Inc,"QC Microbiologist
3 Salaries submitted",74
ADMA Biologics Inc,"Purification Technician
3 Salaries submitted",55
ADMA Biologics Inc,"Corporate Trainer
2 Salaries submitted",91
ADMA Biologics Inc,"Microbiologist
2 Salaries submitted",74
ADMA Biologics Inc,"QC Chemist III
2 Salaries submitted",82
ADMA Biologics Inc,"Maintenance Technician
2 Salaries submitted",62
ADMA Biologics Inc,"Automation Technician
2 Salaries submitted",66
ADMA Biologics Inc,"Center Director
2 Salaries submitted",203
ADMA Biologics Inc,"QC Chemist I
2 Salaries submitted",66
ADMA Biologics Inc,"Assistant Manager
2 Salaries submitted",72
ADMA Biologics Inc,"Manager
2 Salaries submitted",145
ADMA Biologics Inc,"Associate Scientist
2 Salaries submitted",83
ADMA Biologics Inc,"Chemist II
2 Salaries submitted",84
"Adverum Biotechnologies, Inc.","Research Associate
8 Salaries submitted",90
"Adverum Biotechnologies, Inc.","Scientist
7 Salaries submitted",162
"Adverum Biotechnologies, Inc.","Research Associate II
4 Salaries submitted",100
"Adverum Biotechnologies, Inc.","Project Manager
3 Salaries submitted",153
"Adverum Biotechnologies, Inc.","Sr. Scientist
3 Salaries submitted",204
"Adverum Biotechnologies, Inc.","Process Development Engineer II
3 Salaries submitted",123
"Adverum Biotechnologies, Inc.","Principal Scientist
3 Salaries submitted",229
"Adverum Biotechnologies, Inc.","Scientist II
2 Salaries submitted",144
"Adverum Biotechnologies, Inc.","Principal Scientist, Pharmaceutical Development
2 Salaries submitted",305
"Adverum Biotechnologies, Inc.","Senior Research Associate
2 Salaries submitted",126
"Adverum Biotechnologies, Inc.","Director
2 Salaries submitted",332
"Adverum Biotechnologies, Inc.","Facilities Operations Technician II
1 Salaries submitted",85
"Adverum Biotechnologies, Inc.","Quality Control Analyst II
1 Salaries submitted",85
"Adverum Biotechnologies, Inc.","Executive Director
1 Salaries submitted",478
"Adverum Biotechnologies, Inc.","Director of Clinical Operations
1 Salaries submitted",323
"Adverum Biotechnologies, Inc.","Senior Analyst
1 Salaries submitted",139
"Adverum Biotechnologies, Inc.","HR Business Partner
1 Salaries submitted",214
"Adverum Biotechnologies, Inc.","Lab Coordinator
1 Salaries submitted",74
"Adverum Biotechnologies, Inc.","Senior Director, Program Management
1 Salaries submitted",350
"Adverum Biotechnologies, Inc.","Manufacturing Associate II
1 Salaries submitted",73
"Advaxis, Inc.","Engineer
2 Salaries submitted",115
"Advaxis, Inc.","Manufacturing Associate
2 Salaries submitted",50
"Advaxis, Inc.","Research Associate
2 Salaries submitted",76
"Advaxis, Inc.","QA Associate
1 Salaries submitted",65
"Advaxis, Inc.","Associate Research Technician
1 Salaries submitted",57
"Advaxis, Inc.","Regualtory Affairs
1 Salaries submitted",151
"Advaxis, Inc.","Scientist II
1 Salaries submitted",111
"Advaxis, Inc.","IT Network Engineer
1 Salaries submitted",114
"Advaxis, Inc.","IT Senior Manager
1 Salaries submitted",203
"Advaxis, Inc.","Research Scientist
1 Salaries submitted",122
"Advaxis, Inc.","QA Manager
1 Salaries submitted",156
"Advaxis, Inc.","Software Engineer
1 Salaries submitted",138
"Advaxis, Inc.","Manufacturing Engineer
1 Salaries submitted",110
"Advaxis, Inc.","Senior Scientist
1 Salaries submitted",146
Aeterna Zentaris Inc.,"Sales Operations Manager
1 Salaries submitted",201
Affimed N.V.,"Certified Medical Assistant
1 Salaries submitted",56
"AgeX Therapeutics, Inc.","Senior Consultant
1 Salaries submitted",166
Agenus Inc.,"Clinical Project Manager
1 Salaries submitted",143
Agenus Inc.,"Research Associate
1 Salaries submitted",91
Agenus Inc.,"Associate Scientist
1 Salaries submitted",88
Agenus Inc.,"Associate Scientist, R&D Immunology
1 Salaries submitted",134
"Agios Pharmaceuticals, Inc.","Associate Director
17 Salaries submitted",276
"Agios Pharmaceuticals, Inc.","Scientist
17 Salaries submitted",171
"Agios Pharmaceuticals, Inc.","Associate Scientist
16 Salaries submitted",110
"Agios Pharmaceuticals, Inc.","Director
13 Salaries submitted",340
"Agios Pharmaceuticals, Inc.","Senior Manager
12 Salaries submitted",254
"Agios Pharmaceuticals, Inc.","Intern
8 Salaries submitted",94
"Agios Pharmaceuticals, Inc.","Manager
7 Salaries submitted",220
"Agios Pharmaceuticals, Inc.","Senior Scientist
6 Salaries submitted",193
"Agios Pharmaceuticals, Inc.","Senior Research Associate
5 Salaries submitted",131
"Agios Pharmaceuticals, Inc.","Scientist, Biology
4 Salaries submitted",149
"Agios Pharmaceuticals, Inc.","Research Associate
4 Salaries submitted",108
"Agios Pharmaceuticals, Inc.","Director of Operations
4 Salaries submitted",330
"Agios Pharmaceuticals, Inc.","Scientist, Cell Metabolism
4 Salaries submitted",203
"Agios Pharmaceuticals, Inc.","Scientist - Dmpk
3 Salaries submitted",190
"Agios Pharmaceuticals, Inc.","Clinical Trial Associate
3 Salaries submitted",114
"Agios Pharmaceuticals, Inc.","Principal Statistical Programmer
3 Salaries submitted",213
"Agios Pharmaceuticals, Inc.","Senior Associate
3 Salaries submitted",170
"Agios Pharmaceuticals, Inc.","Sr. Scientist
3 Salaries submitted",209
"Agios Pharmaceuticals, Inc.","Vice President
2 Salaries submitted",486
"Agios Pharmaceuticals, Inc.","Senior Research Scientist
2 Salaries submitted",200
"Aeglea BioTherapeutics, Inc.","Research Scientist
4 Salaries submitted",175
"Aeglea BioTherapeutics, Inc.","Associate Scientist
3 Salaries submitted",110
"Aeglea BioTherapeutics, Inc.","Senior Accountant
2 Salaries submitted",150
"Aeglea BioTherapeutics, Inc.","Scientist
2 Salaries submitted",169
"Aeglea BioTherapeutics, Inc.","Senior Associate Scientist
1 Salaries submitted",150
"Aeglea BioTherapeutics, Inc.","Manager
1 Salaries submitted",212
"Aeglea BioTherapeutics, Inc.","Research Scientist Intern
1 Salaries submitted",128
"Aeglea BioTherapeutics, Inc.","Executive
1 Salaries submitted",399
"Aeglea BioTherapeutics, Inc.","Manager QA
1 Salaries submitted",200
"Aeglea BioTherapeutics, Inc.","Vice President of Quality Assurance
1 Salaries submitted",395
"Aeglea BioTherapeutics, Inc.","Research Associate
1 Salaries submitted",93
"Aeglea BioTherapeutics, Inc.","Quality Document Specialist
1 Salaries submitted",88
"Aeglea BioTherapeutics, Inc.","Chief Financial Officer (CFO)
1 Salaries submitted",530
"Aeglea BioTherapeutics, Inc.","Research Assistant
1 Salaries submitted",75
"Aeglea BioTherapeutics, Inc.","Associate Director
1 Salaries submitted",287
"Aeglea BioTherapeutics, Inc.","Clinical Operations Manager
1 Salaries submitted",233
"Aeglea BioTherapeutics, Inc.","Vice President Human Resources
1 Salaries submitted",580
"Aeglea BioTherapeutics, Inc.","Senior Clinical Project Manager
1 Salaries submitted",198
"Aeglea BioTherapeutics, Inc.","Clinical Project Manager
1 Salaries submitted",192
AIM ImmunoTech Inc.,"Director of Human Resources
1 Salaries submitted",186
AIM ImmunoTech Inc.,"Validation Manager
1 Salaries submitted",156
"Akebia Therapeutics, Inc.","Associate Director
10 Salaries submitted",289
"Akebia Therapeutics, Inc.","Renal Sales Specialist
9 Salaries submitted",279
"Akebia Therapeutics, Inc.","Director
8 Salaries submitted",360
"Akebia Therapeutics, Inc.","Project Manager
4 Salaries submitted",179
"Akebia Therapeutics, Inc.","Regulatory Affairs Manager
3 Salaries submitted",206
"Akebia Therapeutics, Inc.","Senior Scientist
3 Salaries submitted",200
"Akebia Therapeutics, Inc.","Supply Chain Specialist
3 Salaries submitted",118
"Akebia Therapeutics, Inc.","Administrative Assistant
3 Salaries submitted",63
"Akebia Therapeutics, Inc.","Manager
3 Salaries submitted",219
"Akebia Therapeutics, Inc.","Intern
3 Salaries submitted",96
"Akebia Therapeutics, Inc.","Senior Program Manager
2 Salaries submitted",241
"Akebia Therapeutics, Inc.","Director of Operations
2 Salaries submitted",346
"Akebia Therapeutics, Inc.","Senior Vice President
2 Salaries submitted",700
"Akebia Therapeutics, Inc.","Liaison
2 Salaries submitted",146
"Akebia Therapeutics, Inc.","Senior Manager
2 Salaries submitted",256
"Akebia Therapeutics, Inc.","Regional Sales Director
2 Salaries submitted",481
"Akebia Therapeutics, Inc.","Principal Statistical Programmer
2 Salaries submitted",225
"Akebia Therapeutics, Inc.","Director Commercial Operations
2 Salaries submitted",416
"Akebia Therapeutics, Inc.","Principal Project Manager
2 Salaries submitted",238
"Akebia Therapeutics, Inc.","Director of Quality Assurance
2 Salaries submitted",297
"Akero Therapeutics, Inc.","Principal Scientist
1 Salaries submitted",198
"Aldeyra Therapeutics, Inc.","Associate Director
1 Salaries submitted",178
"Aldeyra Therapeutics, Inc.","Operations Manager
1 Salaries submitted",108
"Alector, Inc.","Senior Scientist
7 Salaries submitted",162
"Alector, Inc.","Senior Research Associate
6 Salaries submitted",110
"Alector, Inc.","Scientist
5 Salaries submitted",136
"Alector, Inc.","Research Associate II
5 Salaries submitted",84
"Alector, Inc.","Research Associate
4 Salaries submitted",86
"Alector, Inc.","Research Associate I
3 Salaries submitted",67
"Alector, Inc.","Director
3 Salaries submitted",339
"Alector, Inc.","Associate Scientist
2 Salaries submitted",83
"Alector, Inc.","Clinical Trial Specialist II
2 Salaries submitted",90
"Alector, Inc.","Clinical Trial Manager
2 Salaries submitted",133
"Alector, Inc.","Associate Director
2 Salaries submitted",211
"Alector, Inc.","Lab Operations Manager
2 Salaries submitted",128
"Alector, Inc.","Director Talent Acquisition
2 Salaries submitted",439
"Alector, Inc.","Director/Sr Manager
1 Salaries submitted",299
"Alector, Inc.","Research Scientist
1 Salaries submitted",147
"Alector, Inc.","Senior Buyer
1 Salaries submitted",131
"Alector, Inc.","Medical Director
1 Salaries submitted",434
"Alector, Inc.","Clinical Trials Specialist
1 Salaries submitted",93
"Alector, Inc.","Senior Scientist I
1 Salaries submitted",130
"Alector, Inc.","Senior Clinical Trial Manager
1 Salaries submitted",143
Alkermes plc,"Territory Business Manager
33 Salaries submitted",279
Alkermes plc,"Associate Director
27 Salaries submitted",277
Alkermes plc,"Director
23 Salaries submitted",335
Alkermes plc,"Manufacturing Associate
13 Salaries submitted",64
Alkermes plc,"Manager
13 Salaries submitted",229
Alkermes plc,"Scientist
12 Salaries submitted",176
Alkermes plc,"Senior Research Associate
10 Salaries submitted",133
Alkermes plc,"Research Associate
9 Salaries submitted",100
Alkermes plc,"Manufacturing Associate I
8 Salaries submitted",72
Alkermes plc,"Manufacturing Associate II
8 Salaries submitted",77
Alkermes plc,"Quality Assurance
8 Salaries submitted",90
Alkermes plc,"Intern
8 Salaries submitted",94
Alkermes plc,"Principal Scientist
7 Salaries submitted",240
Alkermes plc,"QC Analyst
7 Salaries submitted",88
Alkermes plc,"Senior Systems Analyst
7 Salaries submitted",188
Alkermes plc,"Senior Scientist I
6 Salaries submitted",171
Alkermes plc,"Senior Scientist
6 Salaries submitted",198
Alkermes plc,"Validation Engineer
6 Salaries submitted",129
Alkermes plc,"Medical Science Liaison (MSL)
6 Salaries submitted",287
Alkermes plc,"Data Analyst
6 Salaries submitted",106
Allakos Inc.,"Senior Manager
2 Salaries submitted",191
Allakos Inc.,"Director
2 Salaries submitted",225
Allakos Inc.,"Research Associate
2 Salaries submitted",78
Allakos Inc.,"Technical Operations
1 Salaries submitted",125
Allakos Inc.,"Scientist 1
1 Salaries submitted",75
Allakos Inc.,"Associate Scientist
1 Salaries submitted",79
Allakos Inc.,"Sr. Scientist
1 Salaries submitted",146
Allakos Inc.,"Scientist I
1 Salaries submitted",84
Allakos Inc.,"IT Support Analyst IV
1 Salaries submitted",94
Allakos Inc.,"Data Analyst
1 Salaries submitted",85
Allakos Inc.,"QA Manager
1 Salaries submitted",150
"Allogene Therapeutics, Inc.","Senior Scientist
13 Salaries submitted",189
"Allogene Therapeutics, Inc.","Senior Associate Scientist
10 Salaries submitted",149
"Allogene Therapeutics, Inc.","Scientist
9 Salaries submitted",170
"Allogene Therapeutics, Inc.","Associate Scientist
8 Salaries submitted",112
"Allogene Therapeutics, Inc.","Principal Scientist
7 Salaries submitted",232
"Allogene Therapeutics, Inc.","Intern
4 Salaries submitted",99
"Allogene Therapeutics, Inc.","Senior Manager
4 Salaries submitted",244
"Allogene Therapeutics, Inc.","Director
2 Salaries submitted",350
"Allogene Therapeutics, Inc.","Senior Engineer
2 Salaries submitted",182
"Allogene Therapeutics, Inc.","QC Analyst
2 Salaries submitted",87
"Allogene Therapeutics, Inc.","Senior Principal Scientist
2 Salaries submitted",246
"Allogene Therapeutics, Inc.","Senior QA Manager
2 Salaries submitted",230
"Allogene Therapeutics, Inc.","Specialist
2 Salaries submitted",153
"Allogene Therapeutics, Inc.","Data Science Intern
1 Salaries submitted",132
"Allogene Therapeutics, Inc.","Scientist, Process Development
1 Salaries submitted",145
"Allogene Therapeutics, Inc.","Associate Scientist (Contractor)
1 Salaries submitted",122
"Allogene Therapeutics, Inc.","Process Scientist I
1 Salaries submitted",124
"Allogene Therapeutics, Inc.","QC Analyst II
1 Salaries submitted",105
"Allogene Therapeutics, Inc.","Clinical Manager
1 Salaries submitted",220
"Allogene Therapeutics, Inc.","Senior Scientist I
1 Salaries submitted",167
"Alnylam Pharmaceuticals, Inc.","Scientist
38 Salaries submitted",156
"Alnylam Pharmaceuticals, Inc.","Senior Scientist
30 Salaries submitted",182
"Alnylam Pharmaceuticals, Inc.","Associate Director
26 Salaries submitted",257
"Alnylam Pharmaceuticals, Inc.","Associate Scientist II
23 Salaries submitted",99
"Alnylam Pharmaceuticals, Inc.","Senior Manager
22 Salaries submitted",238
"Alnylam Pharmaceuticals, Inc.","Senior Associate Scientist
18 Salaries submitted",121
"Alnylam Pharmaceuticals, Inc.","Director
14 Salaries submitted",316
"Alnylam Pharmaceuticals, Inc.","Manager
13 Salaries submitted",185
"Alnylam Pharmaceuticals, Inc.","Principal Associate Scientist
12 Salaries submitted",155
"Alnylam Pharmaceuticals, Inc.","Principal Scientist
11 Salaries submitted",231
"Alnylam Pharmaceuticals, Inc.","Executive Assistant
11 Salaries submitted",122
"Alnylam Pharmaceuticals, Inc.","Intern
10 Salaries submitted",93
"Alnylam Pharmaceuticals, Inc.","Intern - Hourly
9 Salaries submitted",73
"Alnylam Pharmaceuticals, Inc.","Senior Statistical Programmer
8 Salaries submitted",172
"Alnylam Pharmaceuticals, Inc.","Co-Op
7 Salaries submitted",94
"Alnylam Pharmaceuticals, Inc.","Associate Scientist
7 Salaries submitted",96
"Alnylam Pharmaceuticals, Inc.","Senior Research Associate
6 Salaries submitted",119
"Alnylam Pharmaceuticals, Inc.","Software Engineer
6 Salaries submitted",172
"Alnylam Pharmaceuticals, Inc.","Senior Engineer
5 Salaries submitted",177
"Alnylam Pharmaceuticals, Inc.","Medical Science Liaison
5 Salaries submitted",307
"Alpine Immune Sciences, Inc.","Senior Scientist
2 Salaries submitted",172
"Alpine Immune Sciences, Inc.","Senior Accountant
2 Salaries submitted",99
"Alpine Immune Sciences, Inc.","Sr Clinical Trial Manager
1 Salaries submitted",162
"Alpine Immune Sciences, Inc.","Sr. Clinical Trial Associate
1 Salaries submitted",124
"Alpine Immune Sciences, Inc.","Internship
1 Salaries submitted",75
"Alpine Immune Sciences, Inc.","Director
1 Salaries submitted",263
"Alpine Immune Sciences, Inc.","Human Resources
1 Salaries submitted",101
"Alpine Immune Sciences, Inc.","Accounting Manager
1 Salaries submitted",115
"Alpine Immune Sciences, Inc.","Clinical Research Associate
1 Salaries submitted",103
"Alpine Immune Sciences, Inc.","Associate Scientist
1 Salaries submitted",87
"Aileron Therapeutics, Inc.","Scientist
3 Salaries submitted",156
"Aileron Therapeutics, Inc.","Research Associate
3 Salaries submitted",97
"Aileron Therapeutics, Inc.","Clinical Research Coordinator
1 Salaries submitted",92
"Aileron Therapeutics, Inc.","Senior Research Associate
1 Salaries submitted",119
"Aileron Therapeutics, Inc.","Executive Assistant
1 Salaries submitted",103
"Aileron Therapeutics, Inc.","Senior Research Assistant
1 Salaries submitted",99
"Aileron Therapeutics, Inc.","Senior Accountant
1 Salaries submitted",123
"Altimmune, Inc.","Research Associate
4 Salaries submitted",96
"Altimmune, Inc.","Director, Program Management
1 Salaries submitted",273
"AlloVir, Inc.","Regulatory Affairs Manager
1 Salaries submitted",145
"AlloVir, Inc.","Scientist
1 Salaries submitted",151
"AlloVir, Inc.","Director
1 Salaries submitted",229
"AlloVir, Inc.","Administrative Assistant
1 Salaries submitted",56
"AlloVir, Inc.","Associate Director
1 Salaries submitted",177
"AlloVir, Inc.","Intern
1 Salaries submitted",75
"AlloVir, Inc.","Principal Scientist
1 Salaries submitted",203
"AlloVir, Inc.","Sr Clinical Trial Associate
1 Salaries submitted",120
"AlloVir, Inc.","Associate Director, Clinical Operations
1 Salaries submitted",189
"AlloVir, Inc.","Supply Chain
1 Salaries submitted",120
"AlloVir, Inc.","Supply Chain Co-Op
1 Salaries submitted",131
"AlloVir, Inc.","Document Control and Training Manager
1 Salaries submitted",113
"AlloVir, Inc.","Materials Planner
1 Salaries submitted",92
Amgen Inc.,"Director
10 Salaries submitted",368
Amgen Inc.,"Associate Scientist
9 Salaries submitted",125
Amgen Inc.,"Senior Manager
8 Salaries submitted",252
Amgen Inc.,"Senior Scientist
7 Salaries submitted",200
Amgen Inc.,"Scientist
7 Salaries submitted",182
Amgen Inc.,"Supply Chain Manager
5 Salaries submitted",203
Amgen Inc.,"Data Scientist
5 Salaries submitted",194
Amgen Inc.,"Manufacturing Associate
4 Salaries submitted",70
Amgen Inc.,"Engineer
3 Salaries submitted",166
Amgen Inc.,"Process Development Scientist
3 Salaries submitted",140
Amgen Inc.,"Principal Scientist
3 Salaries submitted",247
Amgen Inc.,"Process Development Associate Scientist
2 Salaries submitted",127
Amgen Inc.,"Senior Associate
2 Salaries submitted",167
Amgen Inc.,"Research Operations Manager
2 Salaries submitted",189
Amgen Inc.,"Business Performance Manager
2 Salaries submitted",199
Amgen Inc.,"Software Engineer
2 Salaries submitted",182
Amgen Inc.,"Sr. Manager, Operations
2 Salaries submitted",313
Amgen Inc.,"Medical Communications Manager
2 Salaries submitted",243
Amgen Inc.,"Sr Associate Data Scientist
2 Salaries submitted",183
Amgen Inc.,"Regulatory Affairs Manager
2 Salaries submitted",202
Amarin Corporation plc,"Sales Representative
52 Salaries submitted",254
Amarin Corporation plc,"Sales Professional
40 Salaries submitted",291
Amarin Corporation plc,"Pharmaceuticals Sales Representative
31 Salaries submitted",276
Amarin Corporation plc,"Pharmaceutical Sales Representative
14 Salaries submitted",278
Amarin Corporation plc,"Regional Business Manager
6 Salaries submitted",323
